CD4T,CD8T,B,Plasma,DC,NK,Mono,Mast,Tregs
-0.4552836,-0.7533152,-0.19996384,0.24036913,-0.10450281,0.45952073,-0.11409353,0.107030176,-0.35108942
0.5723021,0.82415605,0.4298543,-0.68777275,-0.30166903,-0.03149669,0.25887796,0.23185019,0.08181442
-0.45331153,-0.76841813,-1.114356,0.3581314,-0.8596086,0.24204488,0.5035722,1.5741999,-0.89820975
0.24990734,-0.26703653,-0.97216946,1.7067405,-0.24423648,-0.40116882,-0.5996813,0.18164916,-0.348237
-0.21049401,-0.5436805,0.42491016,0.6599746,1.126475,-0.14292112,1.1090485,0.36681634,-0.5026197
-0.299126,0.31804156,-1.2799222,0.02082792,-0.56594926,0.5804745,0.6609526,-0.17991586,-0.5340818
-0.47805917,-0.16539177,-0.015550786,-0.010398259,0.79382616,-0.4747844,-0.5934144,-0.5865791,-0.13997568
-0.04435513,0.55186594,-0.3564637,-0.1323684,0.36139846,1.6415629,-1.2640171,0.063896395,-0.4199143
-0.12674087,0.024540171,1.342903,-0.2594794,0.729626,0.19837762,-0.49144012,0.28696746,-0.14235632
-0.5606387,-0.17368585,0.7357337,-0.7934676,0.89040726,-0.2946115,-0.25891748,1.3654268,-0.8648122
-0.81661415,-0.44290113,0.39884514,1.3843232,-0.25148854,-0.2847462,-1.206086,-0.39052364,-0.40924993
-0.014848439,-1.1368575,0.13092744,0.11854624,1.6860598,-1.2344893,0.59826213,-0.7996232,0.44133517
0.13447085,0.14537418,1.2037864,1.2705183,-1.5957665,0.35950997,-0.7150258,-1.2286106,0.21345404
0.27426088,-0.19825806,0.39560148,0.28507203,-0.15327018,-0.38799968,0.18080643,-1.1390401,-0.20662455
-0.2038593,-0.3033944,0.39569825,-0.66492814,0.36155447,0.4135509,0.1325698,0.5741929,-0.38205674
-0.31809202,-0.060023382,-0.8706317,0.32989505,0.7011984,-0.022374826,-0.48929265,-0.39624366,-0.39847264
-0.6170052,-0.87545013,-0.6583321,-1.341958,0.5380293,-0.25343525,0.39179075,0.98559237,-0.5071506
0.15408278,0.26617193,-0.5558437,-1.702276,0.3065389,0.19863428,0.6853734,-0.20887591,0.37786078
-0.8410719,-0.5825145,-0.25822595,-0.91966885,0.00085152977,-0.09776908,-0.031130493,-0.95204145,-0.2991513
0.80976796,-0.1731721,0.6764711,0.7212757,-0.7604811,-0.30258152,-0.5575993,0.8090771,0.4858736
0.59108114,0.54733706,-0.29391792,0.12556835,-0.22709729,0.25219318,-1.3228856,0.55096245,1.37175
-0.4419234,-0.019679928,0.7908852,-0.5381914,0.8005093,0.77713907,-0.9060221,-0.6086269,-0.24678132
0.83738774,-0.22216481,-0.309972,-1.2461575,-0.9558484,0.67386097,-0.044226773,0.8096523,0.6581923
0.92059195,0.84949476,-0.8431845,-0.72681177,-0.23724213,0.8254867,0.027111499,-0.7596053,0.62545425
0.091399804,0.699407,0.2725666,0.50568444,-0.31977126,0.6222971,0.48766488,-0.7160479,0.56182826
0.36018014,-0.05591171,0.57884306,-0.9183048,0.41792697,0.14009894,0.33650655,-0.9444786,0.0010777349
0.22214776,-0.16728528,0.8740444,0.57209927,-0.40330133,-1.5053939,-0.908321,0.7438684,0.6819421
-0.3005633,-0.4352572,-0.026505072,0.9096029,1.2411062,0.13424262,0.045711704,-0.50666666,-0.47283143
0.20989124,-0.29569888,0.5646968,-0.99586445,0.45829943,-0.56694627,0.7479824,-0.048142426,0.59885365
-1.124176,-0.7163357,0.0061839316,0.43870017,-0.07959819,-0.2867607,1.2696714,-0.6653248,-0.9690895
